term,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,seed,iter,true_val,data,model
sigma,1.0993665010284932,2.852444015734082e-4,0.05552894935110692,0.997193497758099,1.0609434534310767,1.0969757792115782,1.1353848809354683,1.2149646933859815,37896.984490823605,0.9999697659549942,20191130,40000,1,med-pos-noerror,linear
beta0,-0.8664181338694418,3.540086616923398e-4,0.07181132399948777,-1.0076817831757965,-0.9146167505786065,-0.8663817740737811,-0.8183609085990126,-0.7248181137697177,41148.88686856829,0.9999734524783924,20191131,40000,-1,med-pos-noerror,linear
betax,1.0122720355599493,1.2464477098014516e-4,0.025224495530620304,0.9626571751995378,0.9952170746795829,1.0125466955768743,1.0292234067483554,1.061615413686639,40954.04951010497,0.9999550145471753,20191131,40000,1,med-pos-noerror,linear
sigma,1.0081083077237345,2.5602097069849953e-4,0.0510584758395404,0.9136259676461274,0.9728164233681763,1.0062067228240275,1.0413383363528959,1.1126871173941006,39772.65775503505,0.9999754976057587,20191131,40000,1,med-pos-noerror,linear
beta0,-0.9431896211534908,3.6888309778537314e-4,0.07243770514309635,-1.0852454502460014,-0.9919640583538561,-0.9431742539363035,-0.8939815539203304,-0.8017764339289264,38561.31661825521,0.999973241251076,20191132,40000,-1,med-pos-noerror,linear
betax,1.0204847119939868,1.2568295665649898e-4,0.02438517728738029,0.9719047846981582,1.0042309707080532,1.020554718874659,1.0368069491210095,1.067999823012456,37644.28538242546,0.9999845603487241,20191132,40000,1,med-pos-noerror,linear
sigma,1.0191366109684314,2.593073226668035e-4,0.051916604209798635,0.9234886060163626,0.9831920952873663,1.0171714201533435,1.0529408884342495,1.1264619674404341,40085.10209187178,1.0000578851023234,20191132,40000,1,med-pos-noerror,linear
beta0,-1.004178687573647,3.805471192600608e-4,0.0715999570357144,-1.1440439329054921,-1.0526275212714167,-1.004304509428228,-0.9557414868732458,-0.8635174023770483,35400.43886226278,0.999972085939847,20191133,40000,-1,med-pos-noerror,linear
betax,0.9861813232845481,1.333033384667926e-4,0.025178963987809798,0.9368318370414059,0.9692700001380649,0.9860583492142867,1.0031095069509202,1.0356605542543744,35677.43809120121,1.0000185538516755,20191133,40000,1,med-pos-noerror,linear
sigma,1.0126591647369623,2.821820499423294e-4,0.05161485140105549,0.9176541072831194,0.9766465011834757,1.0106372379532687,1.0460341081071494,1.1200385438686362,33457.27719065743,1.0000014823883916,20191133,40000,1,med-pos-noerror,linear
beta0,-0.9862685987316359,4.1844848237381773e-4,0.08175871948269549,-1.146988460777418,-1.0413124030545797,-0.9864665867743516,-0.9316717321357729,-0.8242682637683215,38175.45021378859,0.9999585771266302,20191134,40000,-1,med-pos-noerror,linear
