term,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,seed,iter,true_val,data,model
beta0,-0.9258433441801824,3.891408513593411e-4,0.086778756203799,-1.0951762632845057,-0.9840446414834174,-0.9263160002316209,-0.867569595664192,-0.7558347289067429,49729.39695833715,0.9999802679148496,20191128,40000,-1,med-pos-xyerror,linear-xme
betax,1.2307070744757798,9.767816303379401e-5,0.022451126008124107,1.1864186740879974,1.2157128057965858,1.2307402698927072,1.245703446145069,1.2747215459877341,52830.08235485366,1.0000582258175865,20191128,40000,1,med-pos-xyerror,linear-xme
sigma,1.0946724549473643,3.4508514094740595e-4,0.06959615037054388,0.9658116328174244,1.046782023390076,1.0921159630590485,1.1395536647171929,1.2376021670465271,40674.09670300494,1.0000595460351267,20191128,40000,1,med-pos-xyerror,linear-xme
beta0,-0.9261438203373459,3.7671217111427257e-4,0.08457564306903156,-1.0926152388748156,-0.9831943654243619,-0.9264835370108231,-0.8696028919249724,-0.7595886627960406,50404.732390701414,1.0000483369156585,20191129,40000,-1,med-pos-xyerror,linear-xme
betax,1.2413645031408496,9.657132898118e-5,0.022026903014616895,1.1978214517597867,1.2265678573927568,1.2414946014857207,1.2563980542897373,1.2840646520252017,52024.80523890894,0.9999623998905658,20191129,40000,1,med-pos-xyerror,linear-xme
sigma,1.0552929785461351,3.4465275056969025e-4,0.06873773425436408,0.9265815420248673,1.0077469117373021,1.0527020400200398,1.1004420921093852,1.1967236521696087,39776.53312518833,1.0000072230988517,20191129,40000,1,med-pos-xyerror,linear-xme
beta0,-1.1048887479721905,4.1032119032480204e-4,0.09380517631406586,-1.288102784791172,-1.1679843799873546,-1.1048141832409628,-1.0422447358561735,-0.9202651797076705,52264.369586441295,0.9999942017021659,20191130,40000,-1,med-pos-xyerror,linear-xme
betax,1.2175598054446293,1.0032493407238333e-4,0.022383525795832675,1.1735512697886892,1.202592098470234,1.2175199907069467,1.2326584958066147,1.2612786851910558,49778.20444256983,0.9999678538006134,20191130,40000,1,med-pos-xyerror,linear-xme
sigma,1.1821906891172977,3.452844488782459e-4,0.07192711856255808,1.0485742011384271,1.132480004036593,1.1797064701494575,1.2286269211241656,1.3326230421591982,43394.16016563749,0.9999855443321347,20191130,40000,1,med-pos-xyerror,linear-xme
beta0,-0.8727941762127083,3.164211089864083e-4,0.08710234965776957,-1.0425491745288373,-0.9318079041874091,-0.8724671686252226,-0.8136337606269876,-0.7027402448757467,75775.50591493162,0.9999743074281061,20191131,40000,-1,med-pos-xyerror,linear-xme
betax,1.221927543505533,8.149861052952876e-5,0.022113375650110217,1.178568674688464,1.2069737451067828,1.2218948815891384,1.236844573006023,1.2651884691176905,73622.35037255361,0.9999643616170955,20191131,40000,1,med-pos-xyerror,linear-xme
sigma,1.1201955897343527,3.085146207129951e-4,0.07044253667550321,0.9877127850408253,1.0718155181197504,1.1178468506535284,1.1663872043851795,1.2634053473295812,52133.6909146989,1.000000825386541,20191131,40000,1,med-pos-xyerror,linear-xme
beta0,-0.736351335179839,2.947476973969987e-4,0.08002918344252626,-0.8939612835222577,-0.7900128316932902,-0.7363162471299793,-0.6828769613505503,-0.5785050049028913,73721.79981353367,0.9999813092329207,20191132,40000,-1,med-pos-xyerror,linear-xme
betax,1.2371389584604366,7.046155734338117e-5,0.018751386579697424,1.2002719648047726,1.224635565366968,1.2369812618055607,1.249689298903077,1.2740878496134458,70821.03986651321,0.9999804422624575,20191132,40000,1,med-pos-xyerror,linear-xme
sigma,0.9904365177319973,3.20420051149196e-4,0.06638206321313153,0.8662376944282549,0.9446282283705911,0.98841536730971,1.033780077257759,1.126761843328397,42920.23807079825,0.999969563520878,20191132,40000,1,med-pos-xyerror,linear-xme
beta0,-0.9777771236081447,3.778194648754775e-4,0.08972948489858627,-1.1533970662108306,-1.0387893877918446,-0.9778137905410746,-0.9177666856499035,-0.8005643810237788,56402.933505923545,0.9999525364355436,20191133,40000,-1,med-pos-xyerror,linear-xme
betax,1.2041813800413614,9.387512751774912e-5,0.022516068550283822,1.1599820650583519,1.1890315255896802,1.2043156623494342,1.2194587373563277,1.2480845484860295,57528.63168862298,0.99997420360384,20191133,40000,1,med-pos-xyerror,linear-xme
sigma,1.1500830699884321,3.3176502097817144e-4,0.07112406132502053,1.017171145802566,1.1011285446015961,1.1474814401391313,1.1959835026085255,1.296452288167593,45959.14125724419,0.999951998812741,20191133,40000,1,med-pos-xyerror,linear-xme
beta0,-1.070193721644798,4.01486903973648e-4,0.09326416433180672,-1.2523525398480628,-1.1335339739979329,-1.0707386147038966,-1.006853121762409,-0.8870417535390566,53961.85107820716,0.999996319121674,20191134,40000,-1,med-pos-xyerror,linear-xme
betax,1.1960930137846422,1.0861055924897952e-4,0.024454010283061333,1.148009057922504,1.1796939334202758,1.1961092279310725,1.2125389321954145,1.2441057931182984,50693.94404329208,0.9999788983482937,20191134,40000,1,med-pos-xyerror,linear-xme
sigma,1.1946852226338769,3.394980071122992e-4,0.07270768293325987,1.0589202045145583,1.1443977830607737,1.192244713096022,1.241859935415556,1.345633014300975,45865.50195055894,0.9999635444579983,20191134,40000,1,med-pos-xyerror,linear-xme
beta0,-0.9902109343540016,3.066995819242537e-4,0.08323015484517562,-1.1523028747769424,-1.0462761519002204,-0.9901270693498844,-0.9346925433607418,-0.8259614769191816,73643.60455074476,1.0000030939872115,20191135,40000,-1,med-pos-xyerror,linear-xme
betax,1.2533434129504948,7.26777106937154e-5,0.01898675906562856,1.216012748193735,1.2406511936697375,1.253282358562052,1.2659712899656919,1.2907598459293554,68249.45711492882,0.9999824757161476,20191135,40000,1,med-pos-xyerror,linear-xme
sigma,1.034339127028661,3.2504697231687155e-4,0.06798606406055091,0.907944455664047,0.9878181892848357,1.0316699254193487,1.0787957225499538,1.1754881042017953,43746.926660320634,0.9999555421682738,20191135,40000,1,med-pos-xyerror,linear-xme
beta0,-0.8687336923821128,3.2683945199301213e-4,0.09185178616924226,-1.0486803514853917,-0.9307492816237666,-0.8685084887764978,-0.8071013477148834,-0.6894727969638242,78978.02422801596,0.9999746755405436,20191136,40000,-1,med-pos-xyerror,linear-xme
betax,1.25072180368778,8.343058261112534e-5,0.023101260929899312,1.2055541526055202,1.235219898506069,1.2507306632802204,1.2661585736951966,1.2964880093292603,76669.17999282709,0.9999610941604901,20191136,40000,1,med-pos-xyerror,linear-xme
sigma,1.1730494843208852,3.199790409168827e-4,0.07344059075414575,1.0367070170485735,1.1226987588130837,1.1707531049046247,1.2203083799810552,1.325513576609679,52677.99765622471,0.9999687993538816,20191136,40000,1,med-pos-xyerror,linear-xme
beta0,-1.06340304366229,3.31487100148312e-4,0.08599938605032631,-1.2306833320468793,-1.1215921854631055,-1.0635447880419477,-1.005289732711759,-0.8959345607950128,67306.56653300034,0.9999877569742746,20191137,40000,-1,med-pos-xyerror,linear-xme
betax,1.1841074556624023,8.944568664188733e-5,0.02265934542368663,1.1394844099166888,1.168887617902621,1.184041167695891,1.1992656955595753,1.2288947549042624,64176.48329706913,1.0000257008193494,20191137,40000,1,med-pos-xyerror,linear-xme
sigma,1.0846841021251572,3.121178518583517e-4,0.06796817756131375,0.9587677722202735,1.0378730882077276,1.0820972550401053,1.1290172655482706,1.22450300944438,47421.36296248006,0.9999578505158927,20191137,40000,1,med-pos-xyerror,linear-xme
beta0,-0.9994189858567236,4.4913993951515484e-4,0.09116129606919202,-1.1785577510518968,-1.0601863937755511,-0.9998095141719042,-0.9381056037485884,-0.8202082549362629,41196.24476051643,0.9999657285300958,20191138,40000,-1,med-pos-xyerror,linear-xme
betax,1.1893266875429709,1.1153704873332366e-4,0.021817457680029868,1.1465746430223485,1.174753848911285,1.18925264624533,1.2040245711585151,1.2322086482210814,38262.2043344688,1.0000389750274306,20191138,40000,1,med-pos-xyerror,linear-xme
sigma,1.1665690434330795,3.8810157481490744e-4,0.07150634028948866,1.0343835254742135,1.1171257448410272,1.1637960151902873,1.2130434157501928,1.313557542634315,33946.75708199718,1.000136149568499,20191138,40000,1,med-pos-xyerror,linear-xme
beta0,-1.0305314551986637,3.127330661946035e-4,0.07990854708307024,-1.1865852005188084,-1.0846141178097084,-1.0305075423720638,-0.9766016594237924,-0.8733781358610804,65288.826511178144,0.9999717924910029,20191139,40000,-1,med-pos-xyerror,linear-xme
betax,1.243359917223896,7.76188867233614e-5,0.01883536277906901,1.2064670872185745,1.2307270753957749,1.2432451538991094,1.2561980962446342,1.2804261175693483,58886.14986070974,0.9999807685934735,20191139,40000,1,med-pos-xyerror,linear-xme
sigma,0.9742682217396867,3.3135427552635733e-4,0.0655944743752352,0.8522328391307804,0.9289938846033184,0.9721142343045501,1.0171844601624034,1.1097974497773855,39187.66214308209,0.9999540747630813,20191139,40000,1,med-pos-xyerror,linear-xme
beta0,-1.0224843762851459,3.12273722562639e-4,0.08395496466258391,-1.18738777225621,-1.0784087319848188,-1.0226977594576283,-0.9666009922871859,-0.8572114290587179,72280.62271406155,1.000004021133336,20191140,40000,-1,med-pos-xyerror,linear-xme
betax,1.2332142039897762,7.811031449777551e-5,0.02081006727496605,1.1921856451144424,1.2192760291490008,1.2333077105791308,1.2471448185608272,1.2740460602650228,70979.05215965974,0.9999859216420905,20191140,40000,1,med-pos-xyerror,linear-xme
sigma,1.0376588593772291,3.037634594236245e-4,0.06762543188102332,0.9120829290931437,0.990620658635326,1.035606027986276,1.0821408230165313,1.1781237949181946,49562.02507633528,0.9999658765174267,20191140,40000,1,med-pos-xyerror,linear-xme
beta0,-1.0435212606161368,4.187582248129668e-4,0.09186415507629767,-1.223714176561178,-1.10593803054711,-1.0430728345786124,-0.9818267085284963,-0.8625627182283974,48124.4157156279,0.9999650902883295,20191141,40000,-1,med-pos-xyerror,linear-xme
betax,1.2558409938653692,1.1882420954241872e-4,0.025260154791593954,1.2060000148871408,1.2389348333271057,1.2557612964001166,1.2729464841266067,1.3051852859064788,45192.060929876316,0.9999638736936826,20191141,40000,1,med-pos-xyerror,linear-xme
